Last Name,First Name,Team,Bye,Name,Pos,PPR POINTS
Allen,Josh,Bills,13,Josh Allen,QB,373
Mahomes,Patrick,Chiefs,10,Patrick Mahomes,QB,356
Hurts,Jalen,Eagles,10,Jalen Hurts,QB,351
Burrow,Joe,Bengals,7,Joe Burrow,QB,350
Fields,Justin,Bears,13,Justin Fields,QB,323
Herbert,Justin,Chargers,5,Justin Herbert,QB,322
Jackson,Lamar,Ravens,13,Lamar Jackson,QB,321
Lawrence,Trevor,Jaguars,9,Trevor Lawrence,QB,320
Smith,Geno,Seahawks,5,Geno Smith,QB,319
Jones,Daniel,Giants,13,Daniel Jones,QB,309
Tagovailoa,Tua,Dolphins,10,Tua Tagovailoa,QB,308
Watson,Deshaun,Browns,5,Deshaun Watson,QB,307
Cousins,Kirk,Vikings,13,Kirk Cousins,QB,305
Prescott,Dak,Cowboys,7,Dak Prescott,QB,304
Rodgers,Aaron,Jets,7,Aaron Rodgers,QB,303
Goff,Jared,Lions,9,Jared Goff,QB,303
Wilson,Russell,Broncos,9,Russell Wilson,QB,295
Richardson,Anthony,Colts,11,Anthony Richardson,QB,295
Purdy,Brock,49ers,9,Brock Purdy,QB,294
Young,Bryce,Panthers,7,Bryce Young,QB,292
Pickett,Kenny,Steelers,6,Kenny Pickett,QB,287
Howell,Sam,Redskins,14,Sam Howell,QB,281
Carr,Derek,Saints,11,Derek Carr,QB,280
Murray,Kyler,Cardinals,14,Kyler Murray,QB,269
Stroud,C.J.,Texans,7,C.J. Stroud,QB,268
Love,Jordan,Packers,6,Jordan Love,QB,252
Tannehill,Ryan,Titans,7,Ryan Tannehill,QB,248
Garoppolo,Jimmy,Raiders,13,Jimmy Garoppolo,QB,238
Stafford,Matthew,Rams,10,Matthew Stafford,QB,234
Jones,Mac,Patriots,11,Mac Jones,QB,219
Ridder,Desmond,Falcons,11,Desmond Ridder,QB,203
Lance,Trey,49ers,9,Trey Lance,QB,184
Mayfield,Baker,Buccaneers,5,Baker Mayfield,QB,130
Levis,Will,Titans,7,Will Levis,QB,66
Brady,Tom,TBA,0,Tom Brady,QB,0
McCaffrey,Christian,49ers,9,Christian McCaffrey,RB,365
Chubb,Nick,Browns,5,Nick Chubb,RB,308
Pollard,Tony,Cowboys,7,Tony Pollard,RB,298
Ekeler,Austin,Chargers,5,Austin Ekeler,RB,330
Barkley,Saquon,Giants,13,Saquon Barkley,RB,298
Henry,Derrick,Titans,7,Derrick Henry,RB,270
Robinson,Bijan,Falcons,11,Bijan Robinson,RB,284
Jacobs,Josh,Raiders,13,Josh Jacobs,RB,259
Taylor,Jonathan,Colts,11,Jonathan Taylor,RB,248
Gibbs,Jahmyr,Lions,9,Jahmyr Gibbs,RB,263
Etienne,Travis,Jaguars,9,Travis Etienne,RB,233
Walker,Kenneth,Seahawks,5,Kenneth Walker,RB,221
Mattison,Alexander,Vikings,13,Alexander Mattison,RB,252
Mixon,Joe,Bengals,7,Joe Mixon,RB,251
Stevenson,Rhamondre,Patriots,11,Rhamondre Stevenson,RB,258
Akers,Cam,Rams,10,Cam Akers,RB,209
Pierce,Dameon,Texans,7,Dameon Pierce,RB,225
Pacheco,Isiah,Chiefs,10,Isiah Pacheco,RB,193
Jones,Aaron,Packers,6,Aaron Jones,RB,220
Herbert,Khalil,Bears,13,Khalil Herbert,RB,190
Kamara,Alvin,Saints,11,Alvin Kamara,RB,215
Sanders,Miles,Panthers,7,Miles Sanders,RB,200
Cook,James,Bills,13,James Cook,RB,215
Robinson,Brian,Redskins,14,Brian Robinson,RB,179
Dillon,A.J.,Packers,6,A.J. Dillon,RB,186
Conner,James,Cardinals,14,James Conner,RB,206
Perine,Samaje,Broncos,9,Samaje Perine,RB,197
Hall,Breece,Jets,7,Breece Hall,RB,180
Cook,Dalvin,Jets,7,Dalvin Cook,RB,173
Dobbins,JK,Ravens,13,JK Dobbins,RB,166
White,Rachaad,Buccaneers,5,Rachaad White,RB,207
Harris,Najee,Steelers,6,Najee Harris,RB,187
Williams,Jamaal,Saints,11,Jamaal Williams,RB,158
Warren,Jaylen,Steelers,6,Jaylen Warren,RB,179
Gainwell,Kenneth,Eagles,10,Kenneth Gainwell,RB,180
Charbonnet,Zach,Seahawks,5,Zach Charbonnet,RB,187
Williams,Javonte,Broncos,9,Javonte Williams,RB,164
Montgomery,David,Lions,9,David Montgomery,RB,161
Wilson Jr.,Jeff,Dolphins,10,Jeff Wilson Jr.,RB,158
McKinnon,Jerick,Chiefs,10,Jerick McKinnon,RB,192
Elliott,Ezekiel,Patriots,11,Ezekiel Elliott,RB,146
Mostert,Raheem,Dolphins,10,Raheem Mostert,RB,152
Hunt,Kareem,TBA,0,Kareem Hunt,RB,155
Achane,De'Von,Dolphins,10,De'Von Achane,RB,163
Evans,Chris,Bengals,7,Chris Evans,RB,145
Penny,Rashaad,Eagles,10,Rashaad Penny,RB,127
Gibson,Antonio,Redskins,14,Antonio Gibson,RB,160
Harris,Damien,Bills,13,Damien Harris,RB,134
Johnson,Roschon,Bears,13,Roschon Johnson,RB,154
White,Zamir,Raiders,13,Zamir White,RB,133
Swift,D'Andre,Eagles,10,D'Andre Swift,RB,157
Miller,Kendre,Saints,11,Kendre Miller,RB,118
Mitchell,Elijah,49ers,9,Elijah Mitchell,RB,115
Jackson,Deon,Colts,11,Deon Jackson,RB,141
Johnson,D'Ernest,Jaguars,9,D'Ernest Johnson,RB,123
Singletary,Devin,Texans,7,Devin Singletary,RB,118
Edwards-Helaire,Clyde,Chiefs,10,Clyde Edwards-Helaire,RB,114
Spears,Tyjae,Titans,7,Tyjae Spears,RB,101
Hubbard,Chuba,Panthers,7,Chuba Hubbard,RB,113
Abanikanda,Israel,Jets,7,Israel Abanikanda,RB,128
Edwards,Gus,Ravens,13,Gus Edwards,RB,94
Kelley,Joshua,Chargers,5,Joshua Kelley,RB,98
Hilliard,Dontrell,Titans,7,Dontrell Hilliard,RB,108
Foreman,D'Onta,Bears,13,D'Onta Foreman,RB,82
Fournette,Leonard,TBA,0,Leonard Fournette,RB,105
Ingram,Keaontay,Cardinals,14,Keaontay Ingram,RB,94
Breida,Matt,Giants,13,Matt Breida,RB,89
Strong,Pierre,Patriots,11,Pierre Strong,RB,81
Allgeier,Tyler,Falcons,11,Tyler Allgeier,RB,78
Edmonds,Chase,Buccaneers,5,Chase Edmonds,RB,98
Patterson,Cordarrelle,Falcons,11,Cordarrelle Patterson,RB,61
Ingram,Mark,Saints,11,Mark Ingram,RB,44
Robinson,James,Patriots,11,James Robinson,RB,0
Jefferson,Justin,Vikings,13,Justin Jefferson,WR,390
Chase,Ja'Marr,Bengals,7,Ja'Marr Chase,WR,371
Kupp,Cooper,Rams,10,Cooper Kupp,WR,355
Hill,Tyreek,Dolphins,10,Tyreek Hill,WR,332
Diggs,Stefon,Bills,13,Stefon Diggs,WR,317
Brown,A.J. ,Eagles,10,A.J.  Brown,WR,296
Adams,Davante,Raiders,13,Davante Adams,WR,309
Wilson,Garrett,Jets,7,Garrett Wilson,WR,305
Lamb,CeeDee,Cowboys,7,CeeDee Lamb,WR,311
