"","Last Name","First Name","Team","Bye","Name","Pos","PPR POINTS"
"1","Mahomes","Patrick","Chiefs",6,"Patrick Mahomes","QB",369
"2","Allen","Josh","Bills",12,"Josh Allen","QB",366
"3","Hurts","Jalen","Eagles",5,"Jalen Hurts","QB",363
"4","Stroud","C.J.","Texans",14,"C.J. Stroud","QB",355
"5","Love","Jordan","Packers",10,"Jordan Love","QB",342
"6","Burrow","Joe","Bengals",12,"Joe Burrow","QB",338
"7","Tagovailoa","Tua","Dolphins",6,"Tua Tagovailoa","QB",330
"8","Richardson","Anthony","Colts",14,"Anthony Richardson","QB",329
"9","Jackson","Lamar","Ravens",14,"Lamar Jackson","QB",322
"10","Prescott","Dak","Cowboys",7,"Dak Prescott","QB",320
"11","Murray","Kyler","Cardinals",11,"Kyler Murray","QB",318
"12","Lawrence","Trevor","Jaguars",12,"Trevor Lawrence","QB",317
"13","Daniels","Jayden","Redskins",14,"Jayden Daniels","QB",316
"14","Williams","Caleb","Bears",7,"Caleb Williams","QB",312
"15","Purdy","Brock","49ers",9,"Brock Purdy","QB",311
"16","Goff","Jared","Lions",5,"Jared Goff","QB",311
"17","Cousins","Kirk","Falcons",12,"Kirk Cousins","QB",310
"18","Rodgers","Aaron","Jets",12,"Aaron Rodgers","QB",305
"19","Herbert","Justin","Chargers",5,"Justin Herbert","QB",300
"20","Jones","Daniel","Giants",11,"Daniel Jones","QB",285
"21","Stafford","Matthew","Rams",6,"Matthew Stafford","QB",279
"22","Smith","Geno","Seahawks",10,"Geno Smith","QB",258
"23","Maye","Drake","Patriots",14,"Drake Maye","QB",255
"24","Carr","Derek","Saints",12,"Derek Carr","QB",252
"25","Watson","Deshaun","Browns",10,"Deshaun Watson","QB",250
"26","Mayfield","Baker","Buccaneers",11,"Baker Mayfield","QB",244
"27","Nix","Bo","Broncos",14,"Bo Nix","QB",236
"28","Minshew","Gardner","Raiders",10,"Gardner Minshew","QB",236
"29","Wilson","Russell","Steelers",9,"Russell Wilson","QB",235
"30","Young","Bryce","Panthers",11,"Bryce Young","QB",230
"31","Fields","Justin","Steelers",9,"Justin Fields","QB",228
"32","Darnold","Sam","Vikings",6,"Sam Darnold","QB",213
"33","Levis","Will","Titans",5,"Will Levis","QB",207
"34","Flacco","Joe","Colts",14,"Joe Flacco","QB",153
"35","Brady","Tom","TBA",0,"Tom Brady","QB",0
"36","Hall","Breece","Jets",12,"Breece Hall","RB",361
"37","McCaffrey","Christian","49ers",9,"Christian McCaffrey","RB",346
